sample-id	sample-type	day	fung-treatment	pma-treatment	code	sample-group
#q2:types	categorical	numeric	categorical	categorical	categorical	categorical
FvP-0d-minus-CH1	true sample	0	Copper-High	No PMA	0d-CH1	Copper High d0
FvP-0d-minus-CH2	true sample	0	Copper-High	No PMA	0d-CH2	Copper High d0
FvP-0d-minus-CH3	true sample	0	Copper-High	No PMA	0d-CH3	Copper High d0
FvP-0d-minus-CL1	true sample	0	Copper-Low	No PMA	0d-CL1	Copper Low d0
FvP-0d-minus-CL2	true sample	0	Copper-Low	No PMA	0d-CL2	Copper Low d0
FvP-0d-minus-CL3	true sample	0	Copper-Low	No PMA	0d-CL3	Copper Low d0
FvP-0d-plus-CH1	true sample	0	Copper-High	PMA	0d-PMA-CH1	Copper High d0 +PMA
FvP-0d-plus-CH2	true sample	0	Copper-High	PMA	0d-PMA-CH2	Copper High d0 +PMA
FvP-0d-plus-CH3	true sample	0	Copper-High	PMA	0d-PMA-CH3	Copper High d0 +PMA
FvP-0d-plus-CL1	true sample	0	Copper-Low	PMA	0d-PMA-CL1	Copper Low d0 +PMA
FvP-0d-plus-CL2	true sample	0	Copper-Low	PMA	0d-PMA-CL2	Copper Low d0 +PMA
FvP-0d-plus-CL3	true sample	0	Copper-Low	PMA	0d-PMA-CL3	Copper Low d0 +PMA
FvP-0d-plus-SH1	true sample	0	Sulphur-High	PMA	0d-PMA-SH1	Sulphur High d0 +PMA
FvP-0d-plus-SH2	true sample	0	Sulphur-High	PMA	0d-PMA-SH2	Sulphur High d0 +PMA
FvP-0d-plus-SH3	true sample	0	Sulphur-High	PMA	0d-PMA-SH3	Sulphur High d0 +PMA
FvP-0d-plus-SL1	true sample	0	Sulphur-Low	PMA	0d-PMA-SL1	Sulphur Low d0 +PMA
FvP-0d-plus-SL2	true sample	0	Sulphur-Low	PMA	0d-PMA-SL2	Sulphur Low d0 +PMA
FvP-0d-plus-SL3	true sample	0	Sulphur-Low	PMA	0d-PMA-SL3	Sulphur Low d0 +PMA
FvP-0d-plus-W1	true sample	0	Water	PMA	0d-PMA-W1	Water Control d0 +PMA
FvP-0d-plus-W2	true sample	0	Water	PMA	0d-PMA-W2	Water Control d0 +PMA
FvP-0d-plus-W3	true sample	0	Water	PMA	0d-PMA-W3	Water Control d0 +PMA
FvP-0d-minus-SH1	true sample	0	Sulphur-High	No PMA	0d-SH1	Sulphur High d0
FvP-0d-minus-SH2	true sample	0	Sulphur-High	No PMA	0d-SH2	Sulphur High d0
FvP-0d-minus-SH3	true sample	0	Sulphur-High	No PMA	0d-SH3	Sulphur High d0
FvP-0d-minus-SL1	true sample	0	Sulphur-Low	No PMA	0d-SL1	Sulphur Low d0
FvP-0d-minus-SL2	true sample	0	Sulphur-Low	No PMA	0d-SL2	Sulphur Low d0
FvP-0d-minus-SL3	true sample	0	Sulphur-Low	No PMA	0d-SL3	Sulphur Low d0
FvP-0d-minus-W1	true sample	0	Water	No PMA	0d-W1	Water Control d0
FvP-0d-minus-W2	true sample	0	Water	No PMA	0d-W2	Water Control d0
FvP-0d-minus-W3	true sample	0	Water	No PMA	0d-W3	Water Control d0
FvP-14d-minus-CH1	true sample	14	Copper-High	No PMA	14d-CH1	Copper High d14
FvP-14d-minus-CH2	true sample	14	Copper-High	No PMA	14d-CH2	Copper High d14
FvP-14d-minus-CH3	true sample	14	Copper-High	No PMA	14d-CH3	Copper High d14
FvP-14d-minus-CL1	true sample	14	Copper-Low	No PMA	14d-CL1	Copper Low d14
FvP-14d-minus-CL2	true sample	14	Copper-Low	No PMA	14d-CL2	Copper Low d14
FvP-14d-minus-CL3	true sample	14	Copper-Low	No PMA	14d-CL3	Copper Low d14
FvP-14d-plus-CH1	true sample	14	Copper-High	PMA	14d-PMA-CH1	Copper High d14 +PMA
FvP-14d-plus-CH2	true sample	14	Copper-High	PMA	14d-PMA-CH2	Copper High d14 +PMA
FvP-14d-plus-CH3	true sample	14	Copper-High	PMA	14d-PMA-CH3	Copper High d14 +PMA
FvP-14d-plus-CL1	true sample	14	Copper-Low	PMA	14d-PMA-CL1	Copper Low d14 +PMA
FvP-14d-plus-CL2	true sample	14	Copper-Low	PMA	14d-PMA-CL2	Copper Low d14 +PMA
FvP-14d-plus-CL3	true sample	14	Copper-Low	PMA	14d-PMA-CL3	Copper Low d14 +PMA
FvP-14d-plus-SH1	true sample	14	Sulphur-High	PMA	14d-PMA-SH1	Sulphur High d14 +PMA
