featureid	freq	prev	p.freq	p.prev	p	contaminant	Kingdom	Phylum	Class	Order	Family	Genus	Species
5f0db78d4cf30baefcabed85bcd89bf6	0.004219763415829392	2	NA	0.11904761904761896	0.11904761904761896	TRUE	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_roseus
72ae905faf3b2f8f3affcad976def038	0.006921318466501045	7	NA	0.11680072916330436	0.11680072916330436	TRUE	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Leratiomyces	Leratiomyces_erythrocephalus
1b9d5bcfd16519553607c4d27da4d952	0.004489378742415309	8	NA	0.4444937780295276	0.4444937780295276	TRUE	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	NA	NA
d49c5e9f65c67197f781281a339100b3	0.0036534335216621082	2	NA	0.11904761904761896	0.11904761904761896	TRUE	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA
a68634f8b3ee2955ba690d031e19da5f	0.006997627139349896	10	NA	0.060031113605072906	0.060031113605072906	TRUE	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_sphaerospermum
5bfa9d5e1c08c243a1b469a84d846764	0.0028191070301931105	3	NA	0.17783709689055616	0.17783709689055616	TRUE	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma_carpophila
457836e63c4ac0f3f3fefc54a7e85419	5.788887544116367e-4	2	NA	0.11904761904761896	0.11904761904761896	TRUE	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella	Kurtzmaniella_sp
2d5251a78c6c7ae7b294306b0e9aa102	0.006044881570475928	7	NA	0.3958148502869109	0.3958148502869109	TRUE	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia_vishniacii
6d688050301377a0694cf9a150ccd358	0.0013993667097850738	2	NA	0.006772169945822647	0.006772169945822647	TRUE	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_prosopidis
92e02abe0d8f53f85c232706719fc23c	0.006274972884394758	9	NA	4.707895077661209e-5	4.707895077661209e-5	TRUE	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
985683f599bd1c95e6efbd8832e66724	0.0015139498841035847	5	NA	0.29101017103985605	0.29101017103985605	TRUE	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Fungi_sp
b570cf7825a3d346709b9a58abfa8619	3.571504525592183e-4	2	NA	0.11904761904761896	0.11904761904761896	TRUE	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Tubulicrinaceae	Butlerelfia	Butlerelfia_eustacei
da780680911bb69cd83fb47794d2435a	3.1347924369234644e-4	3	NA	0.01958217815659561	0.01958217815659561	TRUE	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
eb915ecf8f6dd516b574788f957d69c5	2.392062469550054e-4	2	NA	0.11904761904761896	0.11904761904761896	TRUE	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_sphaerospermum
4533455b019bc374b2b58c5388f14e83	1.2351935403247423e-4	3	NA	0.17783709689055616	0.17783709689055616	TRUE	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_sphaerospermum
c419a7e20618c8dc28a2555b6d7af7b0	3.849306645969789e-5	3	NA	0.01958217815659561	0.01958217815659561	TRUE	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	NA
94c98f4daf845e84df2b057bfcb1ad22	0.005472857497650168	3	NA	0.17783709689055616	0.17783709689055616	TRUE	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium_apollinis
adc71349c6474ec37013d286e023ee9f	5.306817148131883e-6	3	NA	0.17783709689055616	0.17783709689055616	TRUE	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_sp
