sample-id	sample-type	day	fung-treatment	pma-treatment	sample-group
#q2:types	categorical	numeric	categorical	categorical	categorical
0d-CH1	true sample	0	Copper-High	FALSE	Copper High d0
0d-CH2	true sample	0	Copper-High	FALSE	Copper High d0
0d-CH3	true sample	0	Copper-High	FALSE	Copper High d0
0d-CL1	true sample	0	Copper-Low	FALSE	Copper Low d0
0d-CL2	true sample	0	Copper-Low	FALSE	Copper Low d0
0d-CL3	true sample	0	Copper-Low	FALSE	Copper Low d0
0d-PMA-CH1	true sample	0	Copper-High	TRUE	Copper High d0 +PMA
0d-PMA-CH2	true sample	0	Copper-High	TRUE	Copper High d0 +PMA
0d-PMA-CH3	true sample	0	Copper-High	TRUE	Copper High d0 +PMA
0d-PMA-CL1	true sample	0	Copper-Low	TRUE	Copper Low d0 +PMA
0d-PMA-CL2	true sample	0	Copper-Low	TRUE	Copper Low d0 +PMA
0d-PMA-CL3	true sample	0	Copper-Low	TRUE	Copper Low d0 +PMA
0d-PMA-SH1	true sample	0	Sulphur-High	TRUE	Sulphur High d0 +PMA
0d-PMA-SH2	true sample	0	Sulphur-High	TRUE	Sulphur High d0 +PMA
0d-PMA-SH3	true sample	0	Sulphur-High	TRUE	Sulphur High d0 +PMA
0d-PMA-SL1	true sample	0	Sulphur-Low	TRUE	Sulphur Low d0 +PMA
0d-PMA-SL2	true sample	0	Sulphur-Low	TRUE	Sulphur Low d0 +PMA
0d-PMA-SL3	true sample	0	Sulphur-Low	TRUE	Sulphur Low d0 +PMA
0d-PMA-W1	true sample	0	Water	TRUE	Water Control d0 +PMA
0d-PMA-W2	true sample	0	Water	TRUE	Water Control d0 +PMA
0d-PMA-W3	true sample	0	Water	TRUE	Water Control d0 +PMA
0d-SH1	true sample	0	Sulphur-High	FALSE	Sulphur High d0
0d-SH2	true sample	0	Sulphur-High	FALSE	Sulphur High d0
0d-SH3	true sample	0	Sulphur-High	FALSE	Sulphur High d0
0d-SL1	true sample	0	Sulphur-Low	FALSE	Sulphur Low d0
0d-SL2	true sample	0	Sulphur-Low	FALSE	Sulphur Low d0
0d-SL3	true sample	0	Sulphur-Low	FALSE	Sulphur Low d0
0d-W1	true sample	0	Water	FALSE	Water Control d0
0d-W2	true sample	0	Water	FALSE	Water Control d0
0d-W3	true sample	0	Water	FALSE	Water Control d0
14d-CH1	true sample	14	Copper-High	FALSE	Copper High d14
14d-CH2	true sample	14	Copper-High	FALSE	Copper High d14
14d-CH3	true sample	14	Copper-High	FALSE	Copper High d14
14d-CL1	true sample	14	Copper-Low	FALSE	Copper Low d14
14d-CL2	true sample	14	Copper-Low	FALSE	Copper Low d14
14d-CL3	true sample	14	Copper-Low	FALSE	Copper Low d14
14d-PMA-CH1	true sample	14	Copper-High	TRUE	Copper High d14 +PMA
14d-PMA-CH2	true sample	14	Copper-High	TRUE	Copper High d14 +PMA
14d-PMA-CH3	true sample	14	Copper-High	TRUE	Copper High d14 +PMA
14d-PMA-CL1	true sample	14	Copper-Low	TRUE	Copper Low d14 +PMA
14d-PMA-CL2	true sample	14	Copper-Low	TRUE	Copper Low d14 +PMA
14d-PMA-CL3	true sample	14	Copper-Low	TRUE	Copper Low d14 +PMA
14d-PMA-SH1	true sample	14	Sulphur-High	TRUE	Sulphur High d14 +PMA
14d-PMA-SH2	true sample	14	Sulphur-High	TRUE	Sulphur High d14 +PMA
14d-PMA-SH3	true sample	14	Sulphur-High	TRUE	Sulphur High d14 +PMA
14d-PMA-SL1	true sample	14	Sulphur-Low	TRUE	Sulphur Low d14 +PMA
14d-PMA-SL2	true sample	14	Sulphur-Low	TRUE	Sulphur Low d14 +PMA
14d-PMA-SL3	true sample	14	Sulphur-Low	TRUE	Sulphur Low d14 +PMA
14d-PMA-W1	true sample	14	Water	TRUE	Water Control d14 +PMA
14d-PMA-W2	true sample	14	Water	TRUE	Water Control d14 +PMA
14d-PMA-W3	true sample	14	Water	TRUE	Water Control d14 +PMA
14d-SH1	true sample	14	Sulphur-High	FALSE	Sulphur High d14
14d-SH2	true sample	14	Sulphur-High	FALSE	Sulphur High d14
14d-SH3	true sample	14	Sulphur-High	FALSE	Sulphur High d14
14d-SL1	true sample	14	Sulphur-Low	FALSE	Sulphur Low d14
14d-SL2	true sample	14	Sulphur-Low	FALSE	Sulphur Low d14
14d-SL3	true sample	14	Sulphur-Low	FALSE	Sulphur Low d14
14d-W1	true sample	14	Water	FALSE	Water Control d14
14d-W2	true sample	14	Water	FALSE	Water Control d14
14d-W3	true sample	14	Water	FALSE	Water Control d14
1d-CH1	true sample	1	Copper-High	FALSE	Copper High d1
1d-CH2	true sample	1	Copper-High	FALSE	Copper High d1
1d-CH3	true sample	1	Copper-High	FALSE	Copper High d1
1d-CL1	true sample	1	Copper-Low	FALSE	Copper Low d1
