sample-id	sample-type	day	fung-treatment	pma-treatment	sample-group	code
#q2:types	categorical	numeric	categorical	categorical	categorical	categorical
0d-CH1	true sample	0	Copper-High	No PMA	Copper High d0	0d-CH1
0d-CH2	true sample	0	Copper-High	No PMA	Copper High d0	0d-CH2
0d-CH3	true sample	0	Copper-High	No PMA	Copper High d0	0d-CH3
0d-CL1	true sample	0	Copper-Low	No PMA	Copper Low d0	0d-CL1
0d-CL2	true sample	0	Copper-Low	No PMA	Copper Low d0	0d-CL2
0d-CL3	true sample	0	Copper-Low	No PMA	Copper Low d0	0d-CL3
0d-PMA-CH1	true sample	0	Copper-High	PMA	Copper High d0 +PMA	0d-PMA-CH1
0d-PMA-CH2	true sample	0	Copper-High	PMA	Copper High d0 +PMA	0d-PMA-CH2
0d-PMA-CH3	true sample	0	Copper-High	PMA	Copper High d0 +PMA	0d-PMA-CH3
0d-PMA-CL1	true sample	0	Copper-Low	PMA	Copper Low d0 +PMA	0d-PMA-CL1
0d-PMA-CL2	true sample	0	Copper-Low	PMA	Copper Low d0 +PMA	0d-PMA-CL2
0d-PMA-CL3	true sample	0	Copper-Low	PMA	Copper Low d0 +PMA	0d-PMA-CL3
0d-PMA-SH1	true sample	0	Sulphur-High	PMA	Sulphur High d0 +PMA	0d-PMA-SH1
0d-PMA-SH2	true sample	0	Sulphur-High	PMA	Sulphur High d0 +PMA	0d-PMA-SH2
0d-PMA-SH3	true sample	0	Sulphur-High	PMA	Sulphur High d0 +PMA	0d-PMA-SH3
0d-PMA-SL1	true sample	0	Sulphur-Low	PMA	Sulphur Low d0 +PMA	0d-PMA-SL1
0d-PMA-SL2	true sample	0	Sulphur-Low	PMA	Sulphur Low d0 +PMA	0d-PMA-SL2
0d-PMA-SL3	true sample	0	Sulphur-Low	PMA	Sulphur Low d0 +PMA	0d-PMA-SL3
0d-PMA-W1	true sample	0	Water	PMA	Water Control d0 +PMA	0d-PMA-W1
0d-PMA-W2	true sample	0	Water	PMA	Water Control d0 +PMA	0d-PMA-W2
0d-PMA-W3	true sample	0	Water	PMA	Water Control d0 +PMA	0d-PMA-W3
0d-SH1	true sample	0	Sulphur-High	No PMA	Sulphur High d0	0d-SH1
0d-SH2	true sample	0	Sulphur-High	No PMA	Sulphur High d0	0d-SH2
0d-SH3	true sample	0	Sulphur-High	No PMA	Sulphur High d0	0d-SH3
0d-SL1	true sample	0	Sulphur-Low	No PMA	Sulphur Low d0	0d-SL1
0d-SL2	true sample	0	Sulphur-Low	No PMA	Sulphur Low d0	0d-SL2
0d-SL3	true sample	0	Sulphur-Low	No PMA	Sulphur Low d0	0d-SL3
0d-W1	true sample	0	Water	No PMA	Water Control d0	0d-W1
0d-W2	true sample	0	Water	No PMA	Water Control d0	0d-W2
0d-W3	true sample	0	Water	No PMA	Water Control d0	0d-W3
14d-CH1	true sample	14	Copper-High	No PMA	Copper High d14	14d-CH1
14d-CH2	true sample	14	Copper-High	No PMA	Copper High d14	14d-CH2
14d-CH3	true sample	14	Copper-High	No PMA	Copper High d14	14d-CH3
14d-CL1	true sample	14	Copper-Low	No PMA	Copper Low d14	14d-CL1
14d-CL2	true sample	14	Copper-Low	No PMA	Copper Low d14	14d-CL2
14d-CL3	true sample	14	Copper-Low	No PMA	Copper Low d14	14d-CL3
14d-PMA-CH1	true sample	14	Copper-High	PMA	Copper High d14 +PMA	14d-PMA-CH1
