sample-id	sample-type	day	fungicide	pma	group	studyid
#q2:types	categorical	numeric	categorical	categorical	categorical	categorical
0d-PMA-CH1	true sample	0	Copper-High	TRUE	Copper High +PMA	1
0d-PMA-CH2	true sample	0	Copper-High	TRUE	Copper High +PMA	2
0d-PMA-CH3	true sample	0	Copper-High	TRUE	Copper High +PMA	3
0d-PMA-CL1	true sample	0	Copper-Low	TRUE	Copper Low +PMA	4
0d-PMA-CL2	true sample	0	Copper-Low	TRUE	Copper Low +PMA	5
0d-PMA-CL3	true sample	0	Copper-Low	TRUE	Copper Low +PMA	6
0d-PMA-SH1	true sample	0	Sulphur-High	TRUE	Sulphur High +PMA	7
0d-PMA-SH2	true sample	0	Sulphur-High	TRUE	Sulphur High +PMA	8
0d-PMA-SH3	true sample	0	Sulphur-High	TRUE	Sulphur High +PMA	9
0d-PMA-SL1	true sample	0	Sulphur-Low	TRUE	Sulphur Low +PMA	10
0d-PMA-SL2	true sample	0	Sulphur-Low	TRUE	Sulphur Low +PMA	11
0d-PMA-SL3	true sample	0	Sulphur-Low	TRUE	Sulphur Low +PMA	12
0d-PMA-W1	true sample	0	Water	TRUE	Water Control +PMA	13
0d-PMA-W2	true sample	0	Water	TRUE	Water Control +PMA	14
0d-PMA-W3	true sample	0	Water	TRUE	Water Control +PMA	15
14d-PMA-CH1	true sample	14	Copper-High	TRUE	Copper High +PMA	1
14d-PMA-CH2	true sample	14	Copper-High	TRUE	Copper High +PMA	2
14d-PMA-CH3	true sample	14	Copper-High	TRUE	Copper High +PMA	3
14d-PMA-CL1	true sample	14	Copper-Low	TRUE	Copper Low +PMA	4
14d-PMA-CL2	true sample	14	Copper-Low	TRUE	Copper Low +PMA	5
14d-PMA-CL3	true sample	14	Copper-Low	TRUE	Copper Low +PMA	6
14d-PMA-SH1	true sample	14	Sulphur-High	TRUE	Sulphur High +PMA	7
14d-PMA-SH2	true sample	14	Sulphur-High	TRUE	Sulphur High +PMA	8
14d-PMA-SH3	true sample	14	Sulphur-High	TRUE	Sulphur High +PMA	9
14d-PMA-SL1	true sample	14	Sulphur-Low	TRUE	Sulphur Low +PMA	10
14d-PMA-SL2	true sample	14	Sulphur-Low	TRUE	Sulphur Low +PMA	11
14d-PMA-SL3	true sample	14	Sulphur-Low	TRUE	Sulphur Low +PMA	12
14d-PMA-W1	true sample	14	Water	TRUE	Water Control +PMA	13
14d-PMA-W2	true sample	14	Water	TRUE	Water Control +PMA	14
14d-PMA-W3	true sample	14	Water	TRUE	Water Control +PMA	15
1d-PMA-CH1	true sample	1	Copper-High	TRUE	Copper High +PMA	1
1d-PMA-CH2	true sample	1	Copper-High	TRUE	Copper High +PMA	2
1d-PMA-CH3	true sample	1	Copper-High	TRUE	Copper High +PMA	3
1d-PMA-CL1	true sample	1	Copper-Low	TRUE	Copper Low +PMA	4
1d-PMA-CL2	true sample	1	Copper-Low	TRUE	Copper Low +PMA	5
1d-PMA-CL3	true sample	1	Copper-Low	TRUE	Copper Low +PMA	6
1d-PMA-SH1	true sample	1	Sulphur-High	TRUE	Sulphur High +PMA	7
1d-PMA-SH2	true sample	1	Sulphur-High	TRUE	Sulphur High +PMA	8
1d-PMA-SH3	true sample	1	Sulphur-High	TRUE	Sulphur High +PMA	9
1d-PMA-SL1	true sample	1	Sulphur-Low	TRUE	Sulphur Low +PMA	10
1d-PMA-SL2	true sample	1	Sulphur-Low	TRUE	Sulphur Low +PMA	11
1d-PMA-SL3	true sample	1	Sulphur-Low	TRUE	Sulphur Low +PMA	12
1d-PMA-W1	true sample	1	Water	TRUE	Water Control +PMA	13
1d-PMA-W2	true sample	1	Water	TRUE	Water Control +PMA	14
1d-PMA-W3	true sample	1	Water	TRUE	Water Control +PMA	15
21d-PMA-CH1	true sample	21	Copper-High	TRUE	Copper High +PMA	1
21d-PMA-CH2	true sample	21	Copper-High	TRUE	Copper High +PMA	2
21d-PMA-CH3	true sample	21	Copper-High	TRUE	Copper High +PMA	3
21d-PMA-CL1	true sample	21	Copper-Low	TRUE	Copper Low +PMA	4
21d-PMA-CL2	true sample	21	Copper-Low	TRUE	Copper Low +PMA	5
21d-PMA-CL3	true sample	21	Copper-Low	TRUE	Copper Low +PMA	6
21d-PMA-SH1	true sample	21	Sulphur-High	TRUE	Sulphur High +PMA	7
21d-PMA-SH2	true sample	21	Sulphur-High	TRUE	Sulphur High +PMA	8
21d-PMA-SH3	true sample	21	Sulphur-High	TRUE	Sulphur High +PMA	9
21d-PMA-SL1	true sample	21	Sulphur-Low	TRUE	Sulphur Low +PMA	10
21d-PMA-SL2	true sample	21	Sulphur-Low	TRUE	Sulphur Low +PMA	11
21d-PMA-SL3	true sample	21	Sulphur-Low	TRUE	Sulphur Low +PMA	12
21d-PMA-W1	true sample	21	Water	TRUE	Water Control +PMA	13
21d-PMA-W2	true sample	21	Water	TRUE	Water Control +PMA	14
21d-PMA-W3	true sample	21	Water	TRUE	Water Control +PMA	15
7d-PMA-CH1	true sample	7	Copper-High	TRUE	Copper High +PMA	1
7d-PMA-CH2	true sample	7	Copper-High	TRUE	Copper High +PMA	2
7d-PMA-CH3	true sample	7	Copper-High	TRUE	Copper High +PMA	3
7d-PMA-CL1	true sample	7	Copper-Low	TRUE	Copper Low +PMA	4
7d-PMA-CL2	true sample	7	Copper-Low	TRUE	Copper Low +PMA	5
7d-PMA-CL3	true sample	7	Copper-Low	TRUE	Copper Low +PMA	6
7d-PMA-SH1	true sample	7	Sulphur-High	TRUE	Sulphur High +PMA	7
7d-PMA-SH2	true sample	7	Sulphur-High	TRUE	Sulphur High +PMA	8
7d-PMA-SH3	true sample	7	Sulphur-High	TRUE	Sulphur High +PMA	9
7d-PMA-SL1	true sample	7	Sulphur-Low	TRUE	Sulphur Low +PMA	10
7d-PMA-SL2	true sample	7	Sulphur-Low	TRUE	Sulphur Low +PMA	11
7d-PMA-W1	true sample	7	Water	TRUE	Water Control +PMA	13
7d-PMA-W2	true sample	7	Water	TRUE	Water Control +PMA	14
7d-PMA-W3	true sample	7	Water	TRUE	Water Control +PMA	15
